DATE,ADDRESS,TOKEN,TOKEN_NAME,SYMBOL,AMOUNT,AMOUNT_USD
2022-01-11 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-01-11 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-03-03 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-05-02 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-07-12 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-09-28 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-10-04 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-10-27 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,0.0,0.0
2022-11-10 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,4.9335e-05,0.0007232511
2022-11-11 00:00:00+00:00,13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,Lido Staked SOL,stSOL,3.7786e-05,0.0006839542976
